building_count,divipola,source,name,department,total_rooftop_sqm,mean_area_sqm,min_confidence_used,computed_at,median_area_sqm
2007,27361,microsoft,ISTMINA,CHOCÓ,175610.55,87.5,,2026-05-24T02:58:48+00:00,65.33
8819,19075,microsoft,BALBOA,CAUCA,898078.25,101.83,,2026-05-24T02:58:48+00:00,76.08
35339,54810,microsoft,TIBÚ,NORTE DE SANTANDER,3553332.32,100.55,,2026-05-24T02:58:48+00:00,68.61
7041,05480,microsoft,MUTATÁ,ANTIOQUIA,741894.36,105.37,,2026-05-24T02:58:48+00:00,71.53
11164,05604,microsoft,REMEDIOS,ANTIOQUIA,1121253.99,100.43,,2026-05-24T02:58:48+00:00,71.82
64088,20001,microsoft,VALLEDUPAR,CESAR,13526768.95,211.07,,2026-05-24T02:58:48+00:00,92.68
9766,18592,microsoft,PUERTO RICO,CAQUETÁ,1570320.67,160.79,,2026-05-24T02:58:48+00:00,96.95
23738,19130,microsoft,CAJIBÍO,CAUCA,2269145.42,95.59,,2026-05-24T02:58:48+00:00,74.27
5245,52612,microsoft,RICAURTE,NARIÑO,396210.13,75.54,,2026-05-24T02:58:48+00:00,58.12
5774,13212,microsoft,CÓRDOBA,BOLÍVAR,480277.09,83.18,,2026-05-24T02:58:48+00:00,67.34
6602,13473,microsoft,MORALES,BOLÍVAR,676817.21,102.52,,2026-05-24T02:58:48+00:00,70.89
13927,18150,microsoft,CARTAGENA DEL CHAIRÁ,CAQUETÁ,2093753.87,150.34,,2026-05-24T02:58:48+00:00,93.88
10304,05045,microsoft,APARTADÓ,ANTIOQUIA,3445794.5,334.41,,2026-05-24T02:58:48+00:00,96.0
2948,18205,microsoft,CURILLO,CAQUETÁ,444659.62,150.83,,2026-05-24T02:58:48+00:00,92.97
7120,05895,microsoft,ZARAGOZA,ANTIOQUIA,614979.06,86.37,,2026-05-24T02:58:48+00:00,53.47
15613,23580,microsoft,PUERTO LIBERTADOR,CÓRDOBA,1440530.68,92.26,,2026-05-24T02:58:48+00:00,68.83
1790,52473,microsoft,MOSQUERA,NARIÑO,191370.83,106.91,,2026-05-24T02:58:48+00:00,84.54
4046,50325,microsoft,MAPIRIPÁN,META,433399.91,107.12,,2026-05-24T02:58:48+00:00,73.7
